SERVICE_MINILINK,hour,speed
1220028000_025,7,41.1677662037037
1220028000_025,8,32.58645833333333
1220028000_025,9,24.181944444444444
1220028000_025,10,20.903472222222224
1220028000_025,11,15.468055555555555
1220028000_025,12,19.62986111111111
1220028000_025,13,19.22222222222222
1220028000_025,14,18.024537037037035
1220028000_025,15,18.37152777777778
1220028000_025,16,19.375
1220028000_025,17,23.942418981481485
1220028000_025,18,24.38414351851852
1220028000_025,19,26.654282407407404
1220028000_025,20,32.578125
1220028000_025,21,34.79907407407407
1220028000_025,22,30.807349537037037
1220028000_025,23,22.647511574074073
1220028000_026,0,23.70115740740741
1220028000_026,1,27.037962962962965
1220028000_026,2,36.92453703703704
1220028000_026,3,45.79554398148149
1220028000_026,4,45.89357638888889
1220028000_026,5,51.184143518518525
1220028000_026,6,49.95254629629629
1220028000_026,7,39.58790509259259
1220028000_026,8,30.407407407407412
1220028000_026,9,25.697222222222223
1220028000_026,10,21.183333333333334
1220028000_026,11,16.354861111111113
1220028000_026,12,17.2375
1220028000_026,13,17.290277777777778
1220028000_026,14,15.136458333333334
1220028000_026,15,17.391319444444445
1220028000_026,16,16.05625
1220028000_026,17,20.240046296296295
1220028000_026,18,21.29560185185185
1220028000_026,19,25.235532407407412
1220028000_026,20,29.513194444444444
1220028000_026,21,29.027083333333334
1220028000_026,22,27.517418981481484
1220028000_026,23,19.44178240740741
1220028000_027,0,20.507465277777776
1220028000_027,1,25.525520833333335
1220028000_027,2,31.9818287037037
1220028000_027,3,41.204224537037035
1220028000_027,4,40.01689814814815
1220028000_027,5,50.78668981481482
1220028000_027,6,48.416666666666664
1220028000_027,7,34.65694444444444
1220028000_027,8,30.318055555555556
1220028000_027,9,26.545659722222222
1220028000_027,10,17.414930555555557
1220028000_027,11,18.001620370370368
1220028000_027,12,20.788425925925925
1220028000_027,13,17.711689814814818
1220028000_027,14,13.707175925925926
1220028000_027,15,14.543402777777779
1220028000_027,16,15.28888888888889
1220028000_027,17,18.027893518518518
1220028000_027,18,21.83298611111111
1220028000_027,19,22.617361111111112
1220028000_027,20,28.119444444444444
1220028000_027,21,25.869212962962962
1220028000_027,22,24.698611111111106
1220028000_027,23,17.177430555555556
1220028000_028,0,19.8306712962963
1220028000_028,1,21.531886574074075
1220028000_028,2,27.605439814814815
1220028000_028,3,39.08819444444445
1220028000_028,4,35.03750000000001
1220028000_028,5,49.28836805555556
1220028000_028,6,44.87685185185186
1220028000_028,7,32.89172453703704
1220028000_028,8,28.239467592592593
1220028000_028,9,23.83888888888889
1220028000_028,10,13.736342592592594
1220028000_028,11,13.881597222222222
1220028000_028,12,16.99513888888889
1220028000_028,13,11.905555555555555
1220028000_028,14,10.28125
1220028000_028,15,12.01388888888889
1220028000_028,16,9.705555555555556
1220028000_028,17,12.841087962962964
1220028000_028,18,17.190509259259258
1220028000_028,19,18.722685185185185
1220028000_028,20,22.90625
1220028000_028,21,18.92152777777778
1220028000_028,22,18.95017361111111
1220028000_028,23,17.12152777777778
1220028000_029,0,16.13420138888889
1220028000_029,1,18.52199074074074
1220028000_029,2,23.198090277777776
1220028000_029,3,33.18958333333334
1220028000_029,4,33.82395833333334
1220028000_029,5,47.34890046296296
1220028000_029,6,43.428009259259255
1220028000_029,7,29.104108796296295
1220028000_029,8,27.267824074074074
1220028000_029,9,17.50625
1220028000_029,10,12.913425925925928
1220028000_029,11,11.67361111111111
1220028000_029,12,14.35578703703704
1220028000_029,13,9.836805555555555
1220028000_029,14,9.347916666666666
1220028000_029,15,11.085416666666667
1220028000_029,16,7.904166666666667
1220028000_029,17,11.524305555555555
1220028000_029,18,15.261805555555556
1220028000_029,19,15.511805555555556
1220028000_029,20,17.88414351851852
1220028000_029,21,15.665451388888888
1220028000_029,22,14.772800925925928
1220028000_029,23,14.259375
1220028000_030,0,13.413078703703706
1220028000_030,1,13.341377314814817
1220028000_030,2,16.191087962962964
1220028000_030,3,28.917361111111113
1220028000_030,4,26.483449074074077
1220028000_030,5,43.254398148148155
1220028000_030,6,39.69548611111111
1220028000_030,7,24.737037037037037
1220028000_030,8,19.922685185185188
1220028000_030,9,15.960416666666667
1220028000_030,10,11.23425925925926
1220028000_030,11,10.308680555555556
1220028000_030,12,11.777777777777779
1220028000_030,13,8.325
1220028000_030,14,6.613888888888889
1220028000_030,15,8.036805555555556
1220028000_030,16,7.0875
1220028000_030,17,10.338194444444444
1220028000_030,18,12.550462962962964
1220028000_030,19,13.697222222222223
1220028000_030,20,14.488194444444444
1220028000_030,21,13.017013888888888
1220028000_030,22,11.691493055555556
1220028000_030,23,11.629861111111111
1220028000_031,0,10.35
1220028000_031,1,9.459375
1220028000_031,2,12.086226851851853
1220028000_031,3,18.40474537037037
1220028000_031,4,20.500810185185184
1220028000_031,5,36.737557870370374
1220028000_031,6,33.12800925925926
1220028000_031,7,23.805729166666666
1220028000_031,8,17.80625
1220028000_031,9,12.934722222222222
1220028000_031,10,8.35
1220028000_031,11,8.434722222222222
1220028000_031,12,9.54375
1220028000_031,13,7.018055555555556
1220028000_031,14,5.864236111111111
1220028000_031,15,6.825
1220028000_031,16,5.309722222222222
1220028000_031,17,7.248611111111111
1220028000_031,18,9.709722222222222
1220028000_031,19,9.794444444444444
1220028000_031,20,10.134722222222223
1220028000_031,21,8.802083333333334
1220028000_031,22,9.8078125
1220028000_031,23,9.50625
1220028000_032,0,7.819444444444445
1220028000_032,1,8.336458333333333
1220028000_032,2,10.557638888888889
1220028000_032,3,13.20486111111111
1220028000_032,4,14.49050925925926
1220028000_032,5,30.110416666666666
1220028000_032,6,27.792476851851855
1220028000_032,7,22.249189814814812
1220028000_032,8,15.197685185185186
1220028000_032,9,10.583333333333334
1220028000_032,10,8.074652777777779
1220028000_032,11,6.892361111111111
1220028000_032,12,6.68125
1220028000_032,13,5.7347222222222225
1220028000_032,14,5.003472222222222
1220028000_032,15,5.0993055555555555
1220028000_032,16,4.731944444444444
1220028000_032,17,5.5875
1220028000_032,18,6.475
1220028000_032,19,7.809722222222222
1220028000_032,20,9.073611111111111
1220028000_032,21,8.714583333333334
1220028000_032,22,11.964814814814813
1220028000_032,23,10.019097222222221
1220028000_033,0,6.150347222222222
1220028000_033,1,10.67337962962963
1220028000_033,2,11.036458333333334
1220028000_033,3,9.98101851851852
1220028000_033,4,9.625231481481482
1220028000_033,5,23.31759259259259
1220028000_033,6,28.641145833333333
1220028000_033,7,20.759606481481484
1220028000_033,8,16.049074074074074
1220028000_033,9,11.030555555555555
1220028000_033,10,8.969907407407407
1220028000_033,11,6.98125
1220028000_033,12,6.40625
1220028000_033,13,6.0375
1220028000_033,14,5.613888888888889
1220028000_033,15,6.098611111111111
1220028000_033,16,4.329166666666667
1220028000_033,17,4.909027777777778
1220028000_033,18,6.01875
1220028000_033,19,7.445138888888889
1220028000_033,20,8.003472222222221
1220028000_033,21,11.552777777777777
1220028000_033,22,17.369618055555556
1220028000_033,23,12.042534722222221
1220028000_034,0,12.162152777777777
1220028000_034,1,16.39357638888889
1220028000_034,2,18.775752314814817
1220028000_034,3,12.730208333333334
1220028000_034,4,15.083101851851852
1220028000_034,5,28.56261574074074
1220028000_034,6,30.752372685185183
1220028000_034,7,24.574363425925927
1220028000_034,8,19.570833333333333
1220028000_034,9,14.600347222222222
1220028000_034,10,13.341319444444444
1220028000_034,11,10.790972222222223
1220028000_034,12,11.547222222222222
1220028000_034,13,10.340277777777779
1220028000_034,14,9.575
1220028000_034,15,10.559722222222222
1220028000_034,16,8.980555555555556
1220028000_034,17,8.590277777777779
1220028000_034,18,8.297222222222222
1220028000_034,19,10.932986111111111
1220028000_034,20,16.736805555555556
1220028000_034,21,20.645138888888887
1220028000_034,22,24.824131944444446
1220028000_034,23,18.976678240740743
1220028000_035,0,21.318460648148147
1220028000_035,1,23.715972222222224
1220028000_035,2,25.09438657407407
1220028000_035,3,19.97488425925926
1220028000_035,4,22.222222222222225
1220028000_035,5,28.221064814814813
1220028000_035,6,33.18964120370371
1220028000_035,7,29.949131944444446
1220028000_035,8,25.415046296296296
1220028000_035,9,20.079166666666666
1220028000_035,10,16.236805555555556
1220028000_035,11,15.028472222222222
1220028000_035,12,19.274305555555557
1220028000_035,13,15.213888888888889
1220028000_035,14,14.869965277777778
1220028000_035,15,14.699305555555556
1220028000_035,16,15.356944444444444
1220028000_035,17,15.279861111111112
1220028000_035,18,15.790277777777778
1220028000_035,19,18.604861111111113
1220028000_035,20,26.84375
1220028000_035,21,26.266030092592594
1220028000_035,22,27.684722222222224
1220028000_035,23,22.55607638888889
1220028000_036,0,24.553530092592588
1220028000_036,1,28.12488425925926
1220028000_036,2,27.0255787037037
1220028000_036,3,27.8972800925926
1220028000_036,4,28.233333333333338
1220028000_036,5,33.35173611111111
1220028000_036,6,39.08391203703703
1220028000_036,7,33.290046296296296
1220028000_036,8,29.614988425925926
1220028000_036,9,20.4662037037037
1220028000_036,10,18.76701388888889
1220028000_036,11,17.945833333333333
1220028000_036,12,23.0265625
1220028000_036,13,17.180208333333333
1220028000_036,14,17.31782407407407
1220028000_036,15,18.815625
1220028000_036,16,17.997222222222224
1220028000_036,17,20.87037037037037
1220028000_036,18,21.294097222222224
1220028000_036,19,24.05763888888889
1220028000_036,20,26.76365740740741
1220028000_036,21,27.652430555555554
1220028000_036,22,27.25532407407408
1220028000_036,23,25.90821759259259
