SERVICE_MINILINK,time,speed
1220023300_033,1,16.552806712962965
1220023300_033,2,16.222583912037038
1220023300_033,3,15.639684606481483
1220023300_033,4,16.01851851851852
1220023300_033,5,15.23943865740741
1220023300_033,6,16.180237268518518
1220023400_001,0,12.667809606481484
1220023400_001,1,13.287326388888888
1220023400_001,2,13.40842013888889
1220023400_001,3,12.788122106481483
1220023400_001,4,13.017939814814817
1220023400_001,5,12.323061342592593
1220023400_001,6,13.636328124999997
1220023400_002,0,16.146006944444448
1220023400_002,1,15.282841435185183
1220023400_002,2,16.04904513888889
1220023400_002,3,15.807219328703704
1220023400_002,4,15.955439814814813
1220023400_002,5,15.085503472222221
1220023400_002,6,16.508449074074072
1220023400_003,0,17.573003472222222
1220023400_003,1,17.28551793981481
1220023400_003,2,18.12615740740741
1220023400_003,3,17.453125000000004
1220023400_003,4,17.449797453703706
1220023400_003,5,17.47236689814815
1220023400_003,6,19.50837673611111
1220023400_004,0,20.541174768518516
1220023400_004,1,19.241464120370367
1220023400_004,2,19.54926215277778
1220023400_004,3,18.734447337962962
1220023400_004,4,19.02155671296296
1220023400_004,5,19.719618055555557
1220023400_004,6,21.771122685185187
1220023400_005,0,20.962659143518522
1220023400_005,1,20.003761574074073
1220023400_005,2,19.867910879629626
1220023400_005,3,19.588396990740748
1220023400_005,4,20.024305555555557
1220023400_005,5,20.588035300925927
1220023400_005,6,24.041782407407407
1220023400_006,0,21.972178819444448
1220023400_006,1,19.83224826388889
1220023400_006,2,20.881365740740737
1220023400_006,3,20.29759837962963
1220023400_006,4,20.37738715277778
1220023400_006,5,21.081452546296294
1220023400_006,6,24.782798032407406
1220023400_007,0,21.155324074074073
1220023400_007,1,21.037109375
1220023400_007,2,20.98068576388889
1220023400_007,3,20.952256944444443
1220023400_007,4,20.912543402777782
1220023400_007,5,21.74175347222222
1220023400_007,6,26.182826967592593
1220023400_008,0,21.628255208333332
1220023400_008,1,21.044415509259256
1220023400_008,2,21.98755787037037
1220023400_008,3,20.87210648148148
1220023400_008,4,20.93525752314815
1220023400_008,5,21.455873842592588
1220023400_008,6,26.31316550925926
1220023400_009,0,21.371195023148143
1220023400_009,1,21.291015625000004
1220023400_009,2,21.789858217592595
1220023400_009,3,20.57884837962963
1220023400_009,4,21.093822337962962
1220023400_009,5,21.552662037037035
1220023400_009,6,26.3048900462963
1220023400_010,0,21.772280092592595
1220023400_010,1,21.000578703703706
1220023400_010,2,20.734447337962965
1220023400_010,3,19.938368055555557
1220023400_010,4,20.82783564814815
1220023400_010,5,21.300853587962965
1220023400_010,6,24.579369212962963
1220023400_011,0,21.732552083333335
1220023400_011,1,21.10496238425926
1220023400_011,2,21.876085069444443
1220023400_011,3,21.97750289351852
1220023400_011,4,21.58304398148148
1220023400_011,5,21.631510416666664
1220023400_011,6,24.503645833333334
1220023400_012,0,24.849840856481478
1220023400_012,1,23.646050347222218
1220023400_012,2,24.303819444444446
1220023400_012,3,24.707175925925927
1220023400_012,4,24.89134837962963
1220023400_012,5,24.76974826388889
1220023400_012,6,28.55808738425926
1220023400_013,0,27.384201388888894
1220023400_013,1,27.848524305555557
1220023400_013,2,28.482928240740737
1220023400_013,3,27.49674479166667
1220023400_013,4,28.27741608796296
1220023400_013,5,29.487340856481485
1220023400_013,6,32.9830150462963
1220023400_014,0,30.806206597222218
1220023400_014,1,30.299189814814813
1220023400_014,2,29.087239583333332
1220023400_014,3,29.18178530092593
1220023400_014,4,29.508535879629626
1220023400_014,5,31.03479456018518
1220023400_014,6,35.40338541666667
1220023400_015,0,30.694618055555562
1220023400_015,1,30.677734375
1220023400_015,2,30.416015625
1220023400_015,3,30.13288483796296
1220023400_015,4,30.41030092592593
1220023400_015,5,32.464048032407405
1220023400_015,6,36.78570601851852
1220023400_016,0,30.041753472222222
1220023400_016,1,29.511791087962973
1220023400_016,2,29.66174768518518
1220023400_016,3,30.06076388888889
1220023400_016,4,29.73126446759259
1220023400_016,5,31.34548611111111
1220023400_016,6,35.885069444444454
1220023400_017,0,28.291883680555557
1220023400_017,1,28.339265046296294
1220023400_017,2,28.128544560185187
1220023400_017,3,27.496310763888886
1220023400_017,4,28.159360532407405
1220023400_017,5,30.058955439814813
1220023400_017,6,33.92057291666667
1220023400_018,0,29.38722511574074
1220023400_018,1,28.293113425925927
1220023400_018,2,27.934642650462965
1220023400_018,3,27.909577546296294
1220023400_018,4,28.313657407407405
1220023400_018,5,30.035228587962965
1220023400_018,6,34.622714120370375
1220023400_019,0,31.104875578703705
1220023400_019,1,29.937138310185187
1220023400_019,2,29.999059606481485
1220023400_019,3,29.939091435185187
1220023400_019,4,29.567491319444443
1220023400_019,5,31.615813078703702
1220023400_019,6,37.46866319444445
1220023400_020,0,32.95872395833334
